Update,Type,Abundance
45900,Cooperator,5718
45900,Cheater,3820
46000,Cooperator,5737
46000,Cheater,3488
46100,Cooperator,5670
46100,Cheater,3983
46200,Cooperator,5645
46200,Cheater,4022
46300,Cooperator,5628
46300,Cheater,3892
46400,Cooperator,5523
46400,Cheater,3972
46500,Cooperator,5568
46500,Cheater,3903
46600,Cooperator,5348
46600,Cheater,4100
46700,Cooperator,5357
46700,Cheater,4101
46800,Cooperator,5443
46800,Cheater,4197
46900,Cooperator,5205
46900,Cheater,4344
47000,Cooperator,5079
47000,Cheater,4422
47100,Cooperator,5142
47100,Cheater,4346
47200,Cooperator,5107
47200,Cheater,4555
47300,Cooperator,5019
47300,Cheater,4403
47400,Cooperator,4985
47400,Cheater,4517
47500,Cooperator,5137
47500,Cheater,4343
47600,Cooperator,5367
47600,Cheater,4240
47700,Cooperator,5354
47700,Cheater,4469
47800,Cooperator,5319
47800,Cheater,4039
47900,Cooperator,5273
47900,Cheater,4413
48000,Cooperator,5490
48000,Cheater,4273
48100,Cooperator,5376
48100,Cheater,4011
48200,Cooperator,5513
48200,Cheater,4187
48300,Cooperator,5571
48300,Cheater,4256
48400,Cooperator,5687
48400,Cheater,3905
48500,Cooperator,5632
48500,Cheater,3977
48600,Cooperator,5890
48600,Cheater,3782
48700,Cooperator,5884
48700,Cheater,3645
48800,Cooperator,5984
48800,Cheater,3913
48900,Cooperator,5693
48900,Cheater,3874
49000,Cooperator,5586
49000,Cheater,4199
49100,Cooperator,5323
49100,Cheater,4439
49200,Cooperator,4956
49200,Cheater,4411
49300,Cooperator,5002
49300,Cheater,4557
49400,Cooperator,4838
49400,Cheater,4719
49500,Cooperator,4707
49500,Cheater,4774
49600,Cooperator,4679
49600,Cheater,4875
49700,Cooperator,4742
49700,Cheater,4842
49800,Cooperator,4656
49800,Cheater,4946
49900,Cooperator,4556
49900,Cheater,4714
50000,Cooperator,4626
50000,Cheater,4520
50100,Cooperator,4736
50100,Cheater,4716
50200,Cooperator,4848
50200,Cheater,4450
50300,Cooperator,5191
50300,Cheater,4395
50400,Cooperator,5041
50400,Cheater,4524
50500,Cooperator,5002
50500,Cheater,4698
50600,Cooperator,4861
50600,Cheater,4737
50700,Cooperator,4723
50700,Cheater,4763
50800,Cooperator,4839
50800,Cheater,4741
50900,Cooperator,4704
50900,Cheater,4826
